camp,mean1,mean2,pct1,pct2,log2fc,p,p_adj,status
CAMPSQ1039,0.07143649814154612,0.08743320196221534,0.08,0.04838709677419355,-0.02138043593307695,0.625328885898228,0.7160254418681999,unchange
CAMPSQ1040,0.18099133589559807,0.1594628276834693,0.12,0.08064516129032258,0.02654181273399589,0.6200099750809599,0.7127289481564473,unchange
CAMPSQ1041,1.6188357078501885,0.4656420271120401,0.96,0.24193548387096775,0.8373927770834522,1.961836158955193e-7,9.898355165637562e-6,unchange
CAMPSQ1043,0.2929528463635135,0.0618780014475772,0.28,0.03225806451612903,0.28405163615430573,0.00106005867348127,0.00575667870628284,unchange
CAMPSQ1044,0,0.03615564281117354,0,0.01612903225806451,-0.05124072913095544,0.5421264077162994,0.6438693693185238,unchange
CAMPSQ1045,0,0.03615564281117354,0,0.01612903225806451,-0.05124072913095544,0.5421264077162994,0.6438693693185238,unchange
CAMPSQ1046,0.16104499951683326,0.02069682055442643,0.12,0.01612903225806451,0.1858694854354489,0.03990216854445112,0.09136016312776556,unchange
CAMPSQ1047,0.3332542233133765,0.05213395815706032,0.36,0.03225806451612903,0.3416334971242052,6.222358308657055e-5,6.88779293228403e-4,unchange
CAMPSQ1048,0.15847513743326244,0.03307162652873594,0.16,0.01612903225806451,0.16528679734728222,0.0112584903220827,0.03423814865071726,unchange
CAMPSQ1054,0.0293728888236158,0,0.04,0,0.04176569108161355,0.12128522155214529,0.20478642519452575,unchange
